location,least_affected_Countries
England,
Hong Kong,
Macao,
North Korea,
Northern Cyprus,
Northern Ireland,
Scotland,
Taiwan,
Turkmenistan,
Wales,
Western Sahara,
Pitcairn,4
Vatican,26
Tokelau,80
Niue,993
Montserrat,1403
Falkland Islands,1923
Saint Helena,2166
Tuvalu,2943
Saint Pierre and Miquelon,3426
Wallis and Futuna,3550
Anguilla,3904
Kiribati,5085
Nauru,5393
Saint Barthelemy,5507
Palau,6265
Saint Kitts and Nevis,6607
Sao Tome and Principe,6736
Turks and Caicos Islands,6750
Cook Islands,7203
British Virgin Islands,7392
Chad,7698
Sierra Leone,7779
Liberia,8090
American Samoa,8359
Antigua and Barbuda,9106
Comoros,9109
Niger,9515
Guinea-Bissau,9614
Saint Vincent and the Grenadines,9674
Eritrea,10189
Sint Maarten (Dutch part),11051
Bonaire Sint Eustatius and Saba,11922
Yemen,11945
Greenland,11971
Vanuatu,12019
Saint Martin (French part),12324
Gambia,12626
Northern Mariana Islands,14341
Central African Republic,15440
Djibouti,15690
Nicaragua,15733
Dominica,15760
Marshall Islands,16138
Tonga,16950
Samoa,16962
Equatorial Guinea,17130
Monaco,17181
Tajikistan,17786
South Sudan,18819
Bermuda,18860
Grenada,19693
Gibraltar,20550
Liechtenstein,21574
Burkina Faso,22109
Timor,23460
Congo,25215
San Marino,25292
United States Virgin Islands,25389
Solomon Islands,25954
Micronesia (country),26547
Somalia,27334
Benin,28036
Saint Lucia,30073
Cayman Islands,31472
Mali,33164
Haiti,34298
Faeroe Islands,34658
Guernsey,35326
Lesotho,36138
Isle of Man,38008
Bahamas,38084
Guinea,38572
Togo,39528
Mayotte,42027
Tanzania,43223
Aruba,44224
Curacao,45883
Papua New Guinea,46864
Andorra,48015
Gabon,49051
Seychelles,51656
Guam,52287
Burundi,54565
Syria,57423
Bhutan,62697
Mauritania,63848
Sudan,63993
Cape Verde,64474
Jersey,66391
Madagascar,68490
Fiji,69047
Belize,70808
Guyana,73947
Eswatini,75191
French Polynesia,79254
New Caledonia,80064
Suriname,82496
Cote d'Ivoire,88384
Kyrgyzstan,88953
Senegal,89056
Malawi,89168
French Guiana,98041
Democratic Republic of Congo,99338
Angola,107327
Barbados,108075
Malta,121404
Cameroon,125137
Rwanda,133218
Cambodia,139097
Jamaica,156797
Ghana,171839
Uganda,172149
Namibia,172399
Uzbekistan,175081
Maldives,186694
Trinidad and Tobago,191496
El Salvador,201813
Guadeloupe,203235
Iceland,209913
Laos,218955
Martinique,230354
Afghanistan,232403
Mozambique,233765
Montenegro,251280
Zimbabwe,266359
Nigeria,267188
Algeria,272010
Kosovo,274279
Mauritius,327256
Botswana,330638
Albania,334863
Brunei,343653
Kenya,344094
Zambia,349404
North Macedonia,350573
Luxembourg,391229
Oman,399449
Bosnia and Herzegovina,403603
Armenia,451831
Honduras,472783
Reunion,494595
Ethiopia,501157
Libya,507269
Qatar,514524
Egypt,516023
Venezuela,552695
Estonia,610226
Moldova,635245
Myanmar,641895
Dominican Republic,661103
Kuwait,667165
Sri Lanka,672751
Cyprus,681110
Bahrain,696614
Palestine,703228
Paraguay,735759
Azerbaijan,835219
Saudi Arabia,841469
Latvia,977701
Belarus,994037
Nepal,1003450
Mongolia,1011503
Uruguay,1037893
Panama,1039444
United Arab Emirates,1067030
Ecuador,1068532
Cuba,1115043
Tunisia,1153361
Bolivia,1198018
Costa Rica,1230653
Lebanon,1239904
Guatemala,1250295
Puerto Rico,1252713
Morocco,1279006
Croatia,1309728
Bulgaria,1329041
Slovenia,1355814
Lithuania,1365371
Finland,1499712
Kazakhstan,1503687
Norway,1507093
Pakistan,1580631
Ireland,1734839
Jordan,1746997
Georgia,1862085
Slovakia,1877633
Bangladesh,2049155
Hungary,2230249
Iraq,2465545
New Zealand,2499815
Serbia,2583470
Sweden,2751264
Singapore,3006155
Denmark,3434511
Romania,3525696
South Africa,4072636
Philippines,4173631
Switzerland,4452907
Peru,4524748
Czechia,4758766
Thailand,4768647
Canada,4785855
Israel,4841558
Belgium,4860586
Malaysia,5276312
Chile,5343520
Ukraine,5532818
Greece,5626890
Portugal,5642999
Austria,6081287
Colombia,6384097
Poland,6661489
Indonesia,6828884
Iran,7627186
Mexico,7702809
Netherlands,8635672
Argentina,10095225
Vietnam,11624000
Australia,11812024
Spain,13980340
Turkey,17004681
Russia,24031776
United Kingdom,24911885
Italy,26717246
Japan,33803572
South Korea,34571873
Brazil,37519960
Germany,38437756
France,38997490
India,45032655
China,99343195
United States,103436829
